COD_PRODUTO;NOMEPRODUTOECOMM;COD_BARRAS;URLECOMMERCEIMG;PRODUCTURL
13;Bombom Lacta Ouro Branco 1Kg;7896019602105;https://imagens.superkoch.com.br/7896019602105.jpg;https://www.superkoch.com.br/produtos/7065742/bombom-lacta-ouro-branco-1kg
22;Bombom Lacta Sonho de Valsa 1Kg;7896019602006;https://imagens.superkoch.com.br/7896019602006.jpg;https://www.superkoch.com.br/produtos/7065744/bombom-lacta-sonho-de-valsa-1kg
47;Biscoito Club Social Pizza Pacote 141G;7622300053338;https://imagens.superkoch.com.br/7622300053338.jpg;https://www.superkoch.com.br/produtos/7065132/biscoito-club-social-pizza-pacote-141g
53;Biscoito Club Social Presunto Pacote 141G;7622300281489;https://imagens.superkoch.com.br/7622210641632.jpg;https://www.superkoch.com.br/produtos/7065133/biscoito-club-social-presunto-pacote-141g
55;Biscoito Club Social Queijo Pacote 141G;7622300828752;https://imagens.superkoch.com.br/7622210644534.jpg;https://www.superkoch.com.br/produtos/7065135/biscoito-club-social-queijo-pacote-141g
75;Biscoito Recheado Oreo Chocolate 144G;7622300873509;https://imagens.superkoch.com.br/7622300873509.jpg;https://www.superkoch.com.br/produtos/7065392/biscoito-recheado-oreo-chocolate-144g
77;Biscoito Oreo Original Pacote 36G;7622300830083;https://imagens.superkoch.com.br/7622300830083.jpg;https://www.superkoch.com.br/produtos/7065324/biscoito-oreo-original-pacote-36g
78;Biscoito Recheado Sabor Chocolate Oreo 90G;7622300873554;https://imagens.superkoch.com.br/7622300873554.jpg;https://www.superkoch.com.br/produtos/7065396/biscoito-recheado-sabor-chocolate-oreo-90g
79;Biscoito Oreo Original Pacote 90G;7622300830151;https://imagens.superkoch.com.br/7622300830151.jpg;https://www.superkoch.com.br/produtos/7065325/biscoito-oreo-original-pacote-90g
85;Goma de Mascar Bubbaloo Morango Pacote com 10 Unidades de 5G;7895800116500;https://imagens.superkoch.com.br/7895800116500.jpg;https://www.superkoch.com.br/produtos/7070225/goma-de-mascar-bubbaloo-morango-pacote-com-10-unidades-de-5g
88;Pudim Royal Baunilha 50G;7893333484530;https://imagens.superkoch.com.br/7893333484530.jpg;https://www.superkoch.com.br/produtos/7074548/pudim-royal-baunilha-50g
90;Pudim Royal Chocolate 50G;7893333354864;https://imagens.superkoch.com.br/7893333354864.jpg;https://www.superkoch.com.br/produtos/7074549/pudim-royal-chocolate-50g
104;Frango Congelado Kg;5272;https://imagens.superkoch.com.br/5272.jpg;https://www.superkoch.com.br/produtos/7069931/frango-congelado-kg
106;Goma de Mascar Trident Hortelã Menta 8G;7895800304211;https://imagens.superkoch.com.br/7895800304211.jpg;https://www.superkoch.com.br/produtos/7070244/goma-de-mascar-trident-hortela-menta-8g
107;Goma de Mascar Trident Melancia 8G;7895800309780;https://imagens.superkoch.com.br/7895800309780.jpg;https://www.superkoch.com.br/produtos/7070248/goma-de-mascar-trident-melancia-8g
109;Goma de Mascar Trident Menta Verde 8G;7895800304228;https://imagens.superkoch.com.br/7895800304228.jpg;https://www.superkoch.com.br/produtos/7070249/goma-de-mascar-trident-menta-verde-8g
110;Goma de Mascar Trident Morango 8G;7895800201503;https://imagens.superkoch.com.br/7895800201503.jpg;https://www.superkoch.com.br/produtos/7070251/goma-de-mascar-trident-morango-8g
112;Goma de Mascar Trident Tutti Frutti 8G;7895800430002;https://imagens.superkoch.com.br/7895800430002.jpg;https://www.superkoch.com.br/produtos/7070254/goma-de-mascar-trident-tutti-frutti-8g
114;-;7622300847753;https://imagens.superkoch.com.br/7622300847753.jpg;https://www.superkoch.com.br/produtos/7273544/goma-mascar-trident-melancia-252g
116;-;7622300847791;https://imagens.superkoch.com.br/7622300847791.jpg;https://www.superkoch.com.br/produtos/7273545/goma-mascar-trident-menta-252g
140;Fermento em Pó Royal Químico 100G;7893333224006;https://imagens.superkoch.com.br/7893333224006.jpg;https://www.superkoch.com.br/produtos/7069561/fermento-em-po-royal-quimico-100g
142;Fermento em Pó Royal Químico 250G;7893333225003;https://imagens.superkoch.com.br/7622300119652.jpg;https://www.superkoch.com.br/produtos/7069562/fermento-em-po-royal-quimico-250g
147;Gelatina de Royal sem Sabor Incolor com 2 Pacote 12G;7893333229001;https://imagens.superkoch.com.br/7893333229001.jpg;https://www.superkoch.com.br/produtos/7070087/gelatina-de-royal-sem-sabor-incolor-com-2-pacote-12g
150;Gelatina de Abacaxi Royal 25G;7622300860059;https://imagens.superkoch.com.br/7622300860059.jpg;https://www.superkoch.com.br/produtos/7070061/gelatina-de-abacaxi-royal-25g
154;Gelatina de Cereja Royal 25G;7622300859978;https://imagens.superkoch.com.br/7622300859978.jpg;https://www.superkoch.com.br/produtos/7070068/gelatina-de-cereja-royal-25g
155;Gelatina de Framboesa Royal 25G;7622300859930;https://imagens.superkoch.com.br/7622300859930.jpg;https://www.superkoch.com.br/produtos/7070073/gelatina-de-framboesa-royal-25g
156;Gelatina de Limão Royal 25G;7622300859893;https://imagens.superkoch.com.br/7622300859893.jpg;https://www.superkoch.com.br/produtos/7070077/gelatina-de-limao-royal-25g
157;Gelatina de Maracujá Royal 25G;7622300859855;https://imagens.superkoch.com.br/7622300859855.jpg;https://www.superkoch.com.br/produtos/7070079/gelatina-de-maracuja-royal-25g
158;Gelatina de Morango Royal 25G;7622300859817;https://imagens.superkoch.com.br/7622300859817.jpg;https://www.superkoch.com.br/produtos/7070084/gelatina-de-morango-royal-25g
159;Gelatina de Uva Royal 25G;7622300859770;https://imagens.superkoch.com.br/7622300859770.jpg;https://www.superkoch.com.br/produtos/7070093/gelatina-de-uva-royal-25g
162;Gelatina de Cereja Zero Sabor Royal 12G;7622300172879;https://imagens.superkoch.com.br/7622300172879.jpg;https://www.superkoch.com.br/produtos/7070069/gelatina-de-cereja-zero-sabor-royal-12g
163;Gelatina de Uva Zero Sabor Royal 12G;7622300172947;https://imagens.superkoch.com.br/7622300172947.jpg;https://www.superkoch.com.br/produtos/7070094/gelatina-de-uva-zero-sabor-royal-12g
165;Gelatina de Framboesa Zero Royal 12G;7622300172893;https://imagens.superkoch.com.br/7622300172893.jpg;https://www.superkoch.com.br/produtos/7070074/gelatina-de-framboesa-zero-royal-12g
166;Gelatina de Maracujá Royal Zero 12G;7622300172992;https://imagens.superkoch.com.br/7622300172992.jpg;https://www.superkoch.com.br/produtos/7070080/gelatina-de-maracuja-royal-zero-12g
